CargoManifestId,tripId,departureDate,arrivalDate,ShipMmsi,TruckLicensePlate,containerNumber,DeparturePort,arrivalPort,xValue,yValue,zValue,ContainerDepartDate,ContainerArrivDate,load,payload,tare,length,width,height,IsoCode,idType,temp,ShipCaptain,ShipCEE,TruckDriver
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267018,N/A,035470,Balboa,Cristobal,9,21,-2,05/12/2021 11:34,09/12/2021 15:34,Vegetables,6704,3080,6.096,2.5908,2.5908,22R1,1,6,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267019,N/A,006306,Balboa,Zeebrugge,9,16,-1,05/12/2021 11:34,17/12/2021 23:34,Ice-cream,11705,3080,6.096,2.5908,2.5908,22R1,1,-1,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267020,N/A,002348,Brest,Zeebrugge,9,0,4,13/12/2021 19:34,17/12/2021 23:34,Smartphones,13483,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267021,N/A,016024,Los Angeles,Cristobal,10,24,-2,01/12/2021 07:34,09/12/2021 15:34,Meat,18287,3080,6.096,2.5908,2.5908,22R1,1,5,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267022,N/A,015671,Balboa,Zeebrugge,8,4,3,05/12/2021 11:34,17/12/2021 23:34,Fish,25479,3080,6.096,2.5908,2.5908,22R1,1,-5,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267023,N/A,021964,Brest,Zeebrugge,14,10,2,13/12/2021 19:34,17/12/2021 23:34,Laptops,15279,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267024,N/A,036441,Balboa,Brest,5,25,-1,05/12/2021 11:34,13/12/2021 19:34,Raptor engines,8830,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267025,N/A,003776,Cristobal,Brest,4,2,-1,09/12/2021 15:34,13/12/2021 19:34,Smartphones,15711,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267026,N/A,025712,Cristobal,Brest,9,23,4,09/12/2021 15:34,13/12/2021 19:34,Raptor engines,11701,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267027,N/A,001465,Cristobal,Brest,10,23,6,09/12/2021 15:34,13/12/2021 19:34,Processors,9393,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267028,N/A,007647,Los Angeles,Balboa,7,9,2,01/12/2021 07:34,05/12/2021 11:34,Vegetables,20754,3080,6.096,2.5908,2.5908,22R1,1,3,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267029,N/A,021470,Balboa,Brest,1,14,-2,05/12/2021 11:34,13/12/2021 19:34,Processors,11456,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267030,N/A,037758,Brest,Zeebrugge,2,25,2,13/12/2021 19:34,17/12/2021 23:34,Car Parts,12815,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267031,N/A,032431,Brest,Zeebrugge,0,3,-2,13/12/2021 19:34,17/12/2021 23:34,Processors,10126,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267032,N/A,011944,Cristobal,Zeebrugge,11,19,1,09/12/2021 15:34,17/12/2021 23:34,Vegetables,27137,3080,6.096,2.5908,2.5908,22R1,1,-4,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267033,N/A,038254,Cristobal,Zeebrugge,6,15,3,09/12/2021 15:34,17/12/2021 23:34,Laptops,4884,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267034,N/A,027857,Cristobal,Brest,11,22,-1,09/12/2021 15:34,13/12/2021 19:34,Fish,6628,3080,6.096,2.5908,2.5908,22R1,1,2,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267035,N/A,000967,Balboa,Brest,13,8,-1,05/12/2021 11:34,13/12/2021 19:34,Smartphones,12449,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267036,N/A,020879,Balboa,Zeebrugge,3,12,0,05/12/2021 11:34,17/12/2021 23:34,Raptor engines,8560,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267037,N/A,003940,Balboa,Brest,5,22,-1,05/12/2021 11:34,13/12/2021 19:34,Fish,6821,3080,6.096,2.5908,2.5908,22R1,1,3,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267038,N/A,003422,Balboa,Brest,10,2,1,05/12/2021 11:34,13/12/2021 19:34,Car Parts,21236,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267039,N/A,030730,Cristobal,Zeebrugge,15,0,6,09/12/2021 15:34,17/12/2021 23:34,Fish,19594,3080,6.096,2.5908,2.5908,22R1,1,-6,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267040,N/A,038952,Cristobal,Brest,6,18,3,09/12/2021 15:34,13/12/2021 19:34,Car Parts,17159,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267041,N/A,019024,Cristobal,Brest,10,21,1,09/12/2021 15:34,13/12/2021 19:34,Smartphones,24589,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267042,N/A,010384,Cristobal,Brest,12,2,2,09/12/2021 15:34,13/12/2021 19:34,Vegetables,27368,3080,6.096,2.5908,2.5908,22R1,1,-3,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267043,N/A,008988,Los Angeles,Balboa,2,10,1,01/12/2021 07:34,05/12/2021 11:34,Ice-cream,15172,3080,6.096,2.5908,2.5908,22R1,1,-12,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267044,N/A,006565,Brest,Zeebrugge,2,17,6,13/12/2021 19:34,17/12/2021 23:34,Fish,16929,3080,6.096,2.5908,2.5908,22R1,1,7,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267045,N/A,036043,Los Angeles,Zeebrugge,7,25,-2,01/12/2021 07:34,17/12/2021 23:34,Cars,18230,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267046,N/A,030470,Los Angeles,Cristobal,13,14,6,01/12/2021 07:34,09/12/2021 15:34,Concrete,6784,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267047,N/A,025494,Los Angeles,Cristobal,4,19,4,01/12/2021 07:34,09/12/2021 15:34,Car Parts,6629,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267048,N/A,018529,Brest,Zeebrugge,16,11,3,13/12/2021 19:34,17/12/2021 23:34,Raptor engines,12291,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267049,N/A,005107,Cristobal,Zeebrugge,10,8,2,09/12/2021 15:34,17/12/2021 23:34,Concrete,20162,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267050,N/A,038578,Brest,Zeebrugge,15,6,-1,13/12/2021 19:34,17/12/2021 23:34,Laptops,9055,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267051,N/A,015866,Brest,Zeebrugge,9,19,1,13/12/2021 19:34,17/12/2021 23:34,Cars,14749,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267052,N/A,037523,Los Angeles,Balboa,10,2,5,01/12/2021 07:34,05/12/2021 11:34,Ice-cream,11281,3080,6.096,2.5908,2.5908,22R1,1,-11,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267053,N/A,007466,Cristobal,Zeebrugge,7,14,2,09/12/2021 15:34,17/12/2021 23:34,Laptops,5740,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267054,N/A,022033,Brest,Zeebrugge,8,20,0,13/12/2021 19:34,17/12/2021 23:34,Smartphones,14725,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267055,N/A,008293,Los Angeles,Cristobal,9,25,4,01/12/2021 07:34,09/12/2021 15:34,Meat,23658,3080,6.096,2.5908,2.5908,22R1,1,-5,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267056,N/A,031809,Balboa,Zeebrugge,13,25,-2,05/12/2021 11:34,17/12/2021 23:34,Laptops,12999,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267057,N/A,012351,Balboa,Zeebrugge,14,7,3,05/12/2021 11:34,17/12/2021 23:34,Concrete,16703,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267058,N/A,023956,Brest,Zeebrugge,7,13,2,13/12/2021 19:34,17/12/2021 23:34,Vegetables,7977,3080,6.096,2.5908,2.5908,22R1,1,0,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267059,N/A,019671,Brest,Zeebrugge,14,5,4,13/12/2021 19:34,17/12/2021 23:34,Fish,7910,3080,6.096,2.5908,2.5908,22R1,1,4,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267060,N/A,001230,Brest,Zeebrugge,8,2,5,13/12/2021 19:34,17/12/2021 23:34,Concrete,13885,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267061,N/A,037062,Cristobal,Brest,11,12,3,09/12/2021 15:34,13/12/2021 19:34,Concrete,20272,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267062,N/A,015989,Cristobal,Brest,0,18,-2,09/12/2021 15:34,13/12/2021 19:34,Smartphones,18959,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267063,N/A,012445,Balboa,Zeebrugge,7,2,-1,05/12/2021 11:34,17/12/2021 23:34,Smartphones,8144,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267064,N/A,000089,Brest,Zeebrugge,0,5,6,13/12/2021 19:34,17/12/2021 23:34,Meat,17664,3080,6.096,2.5908,2.5908,22R1,1,-12,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267065,N/A,015869,Los Angeles,Brest,1,10,6,01/12/2021 07:34,13/12/2021 19:34,Laptops,3968,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267066,N/A,012392,Cristobal,Brest,15,22,2,09/12/2021 15:34,13/12/2021 19:34,Meat,24865,3080,6.096,2.5908,2.5908,22R1,1,-11,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267067,N/A,025846,Brest,Zeebrugge,4,17,6,13/12/2021 19:34,17/12/2021 23:34,Laptops,3320,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267068,N/A,005075,Los Angeles,Brest,10,14,4,01/12/2021 07:34,13/12/2021 19:34,Ice-cream,26589,3080,6.096,2.5908,2.5908,22R1,1,-7,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267069,N/A,008722,Brest,Zeebrugge,4,21,5,13/12/2021 19:34,17/12/2021 23:34,Ice-cream,11056,3080,6.096,2.5908,2.5908,22R1,1,-8,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267070,N/A,017956,Brest,Zeebrugge,15,1,1,13/12/2021 19:34,17/12/2021 23:34,Smartphones,4953,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267071,N/A,031882,Brest,Zeebrugge,7,14,0,13/12/2021 19:34,17/12/2021 23:34,Cars,18290,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267072,N/A,007852,Brest,Zeebrugge,16,12,0,13/12/2021 19:34,17/12/2021 23:34,Vaccines,8052,3080,6.096,2.5908,2.5908,22R1,2,-5,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267073,N/A,006602,Los Angeles,Zeebrugge,10,16,0,01/12/2021 07:34,17/12/2021 23:34,Raptor engines,21916,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267074,N/A,033436,Brest,Zeebrugge,0,17,1,13/12/2021 19:34,17/12/2021 23:34,Vegetables,17674,3080,6.096,2.5908,2.5908,22R1,1,-6,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267075,N/A,038778,Los Angeles,Cristobal,9,4,1,01/12/2021 07:34,09/12/2021 15:34,Processors,3474,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267076,N/A,000219,Balboa,Brest,16,13,0,05/12/2021 11:34,13/12/2021 19:34,Processors,4292,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267077,N/A,035487,Brest,Zeebrugge,15,15,-2,13/12/2021 19:34,17/12/2021 23:34,Meat,24925,3080,6.096,2.5908,2.5908,22R1,1,-8,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267078,N/A,032621,Cristobal,Brest,16,4,3,09/12/2021 15:34,13/12/2021 19:34,Fish,7740,3080,6.096,2.5908,2.5908,22R1,1,-1,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267079,N/A,022294,Los Angeles,Zeebrugge,5,7,6,01/12/2021 07:34,17/12/2021 23:34,Concrete,3597,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267080,N/A,030216,Cristobal,Brest,8,10,-1,09/12/2021 15:34,13/12/2021 19:34,Car Parts,23235,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267081,N/A,022990,Cristobal,Zeebrugge,0,10,1,09/12/2021 15:34,17/12/2021 23:34,Laptops,4238,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267082,N/A,004039,Cristobal,Brest,8,2,5,09/12/2021 15:34,13/12/2021 19:34,Ice-cream,13652,3080,6.096,2.5908,2.5908,22R1,1,-10,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267083,N/A,013128,Brest,Zeebrugge,16,14,-2,13/12/2021 19:34,17/12/2021 23:34,Fish,11722,3080,6.096,2.5908,2.5908,22R1,1,-5,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267084,N/A,011623,Brest,Zeebrugge,2,8,2,13/12/2021 19:34,17/12/2021 23:34,Laptops,12969,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267085,N/A,011159,Balboa,Zeebrugge,13,6,4,05/12/2021 11:34,17/12/2021 23:34,Ice-cream,9120,3080,6.096,2.5908,2.5908,22R1,1,-2,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267086,N/A,007625,Cristobal,Zeebrugge,0,17,5,09/12/2021 15:34,17/12/2021 23:34,Meat,16081,3080,6.096,2.5908,2.5908,22R1,1,-12,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267087,N/A,018139,Cristobal,Zeebrugge,3,2,2,09/12/2021 15:34,17/12/2021 23:34,Vaccines,5070,3080,6.096,2.5908,2.5908,22R1,2,-5,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267088,N/A,000840,Cristobal,Zeebrugge,14,5,3,09/12/2021 15:34,17/12/2021 23:34,Ice-cream,16070,3080,6.096,2.5908,2.5908,22R1,1,-12,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267089,N/A,020089,Balboa,Zeebrugge,15,0,5,05/12/2021 11:34,17/12/2021 23:34,Meat,18355,3080,6.096,2.5908,2.5908,22R1,1,-8,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267090,N/A,013025,Cristobal,Zeebrugge,6,21,0,09/12/2021 15:34,17/12/2021 23:34,Concrete,19838,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267091,N/A,002969,Balboa,Zeebrugge,10,12,-2,05/12/2021 11:34,17/12/2021 23:34,Cars,7298,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267092,N/A,035274,Cristobal,Brest,7,17,5,09/12/2021 15:34,13/12/2021 19:34,Cars,18587,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267093,N/A,033038,Brest,Zeebrugge,6,8,-2,13/12/2021 19:34,17/12/2021 23:34,Laptops,11747,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267094,N/A,017538,Cristobal,Brest,7,18,-2,09/12/2021 15:34,13/12/2021 19:34,Smartphones,15027,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267095,N/A,034860,Cristobal,Brest,13,17,6,09/12/2021 15:34,13/12/2021 19:34,Meat,12654,3080,6.096,2.5908,2.5908,22R1,1,-7,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267096,N/A,002526,Brest,Zeebrugge,4,22,2,13/12/2021 19:34,17/12/2021 23:34,Concrete,19387,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267097,N/A,006241,Cristobal,Brest,15,3,5,09/12/2021 15:34,13/12/2021 19:34,Meat,26267,3080,6.096,2.5908,2.5908,22R1,1,-4,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267098,N/A,024676,Los Angeles,Brest,2,14,5,01/12/2021 07:34,13/12/2021 19:34,Processors,22134,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267099,N/A,003393,Cristobal,Brest,3,9,-1,09/12/2021 15:34,13/12/2021 19:34,Car Parts,6717,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267100,N/A,034895,Los Angeles,Brest,6,3,3,01/12/2021 07:34,13/12/2021 19:34,Car Parts,24412,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267101,N/A,016849,Balboa,Brest,7,1,0,05/12/2021 11:34,13/12/2021 19:34,Vegetables,16659,3080,6.096,2.5908,2.5908,22R1,1,2,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267102,N/A,003544,Cristobal,Brest,4,2,6,09/12/2021 15:34,13/12/2021 19:34,Smartphones,11128,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267103,N/A,024254,Balboa,Brest,9,12,2,05/12/2021 11:34,13/12/2021 19:34,Raptor engines,9693,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267104,N/A,008992,Brest,Zeebrugge,2,6,-2,13/12/2021 19:34,17/12/2021 23:34,Ice-cream,11858,3080,6.096,2.5908,2.5908,22R1,1,-10,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267105,N/A,011589,Cristobal,Brest,6,1,-1,09/12/2021 15:34,13/12/2021 19:34,Concrete,20375,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267106,N/A,034031,Los Angeles,Brest,2,18,1,01/12/2021 07:34,13/12/2021 19:34,Cars,24792,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267107,N/A,015213,Balboa,Cristobal,12,14,3,05/12/2021 11:34,09/12/2021 15:34,Cars,3804,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
